Simplified,Traditional,Pinyin,Level
名字,名字,míngzi,1
明白,明白,míngbai,1
明年,明年,míngnián,1
明天,明天,míngtiān,1
拿,拿,ná,1
哪,哪,nǎ,1
哪里,哪裡|哪裏,nǎlǐ,1
哪儿,哪兒,nǎr,1
哪些,哪些,nǎxiē,1
那,那,nà,1
那边,那邊,nàbiān,1
那里,那裡|那裏,nàlǐ,1
那儿,那兒,nàr,1
那些,那些,nàxiē,1
奶,奶,nǎi,1
奶奶,奶奶,nǎinai,1
男,男,nán,1
男孩儿,男孩兒,nánháir,1
男朋友,男朋友,nánpéngyou,1
男人,男人,nánrén,1
男生,男生,nánshēng,1
南,南,nán,1
南边,南邊,nánbian,1
难,難,nán,1
呢,呢,ne,1
能,能,néng,1
你,你,nǐ,1
你们,你們,nǐmen,1
年,年,nián,1
您,您,nín,1
牛奶,牛奶,niúnǎi,1
女,女,nǚ,1
女儿,女兒,nǚ'ér,1
女孩儿,女孩兒,nǚháir,1
女朋友,女朋友,nǚpéngyou,1
女人,女人,nǚrén,1
女生,女生,nǚshēng,1
旁边,旁邊,pángbiān,1
跑,跑,pǎo,1
朋友,朋友,péngyou,1
票,票,piào,1
七,七,qī,1
起,起,qǐ,1
起床,起床,qǐchuáng,1
起来,起來|起來,qǐlái,1
汽车,汽車,qìchē,1
前,前,qián,1
前边,前邊,qiánbian,1
前天,前天,qiántiān,1
钱,錢,qián,1
钱包,錢包,qiánbāo,1
请,請,qǐng,1
请假,請假,qǐngjià,1
请进,請進,qǐng jìn,1
请问,請問,qǐngwèn,1
请坐,請坐,qǐng zuò,1
球,球,qiú,1
去,去,qù,1
去年,去年,qùnián,1
热,熱,rè,1
人,人,rén,1
认识,認識,rènshi,1
认真,認真,rènzhēn,1
日,日,rì,1
日期,日期,rìqī,1
肉,肉,ròu,1
三,三,sān,1
山,山,shān,1
商场,商場,shāngchǎng,1
商店,商店,shāngdiàn,1
上,上,shàng,1
上班,上班,shàngbān,1
上边,上邊,shàngbian,1
上车,上車,shàng chē,1
上次,上次,shàng cì,1
上课,上課,shàngkè,1
上网,上網,shàngwǎng,1
上午,上午,shàngwǔ,1
上学,上學,shàngxué,1
少,少,shǎo,1
谁,誰,shéi/shuí,1
身上,身上,shēnshang,1
身体,身體,shēntǐ,1
什么,什麼,shénme,1
生病,生病,shēngbìng,1
生气,生氣,shēngqì,1
生日,生日,shēngrì,1
十,十,shí,1
时候,時候,shíhou,1
时间,時間,shíjiān,1
事,事,shì,1
试,試,shì,1
是,是,shì,1
是不是,是不是,shì bu shì,1
手,手,shǒu,1
手机,手機,shǒujī,1
书,書,shū,1
书包,書包,shūbāo,1
书店,書店,shūdiàn,1
树,樹,shù,1
水,水,shuǐ,1
水果,水果,shuǐguǒ,1
睡,睡,shuì,1
睡觉,睡覺,shuìjiào,1
说,說,shuō,1
说话,說話,shuōhuà,1
四,四,sì,1
送,送,sòng,1
岁,歲,suì,1
他,他,tā,1
他们,他們,tāmen,1
她,她,tā,1
她们,她們,tāmen,1
太,太,tài,1
天,天,tiān,1
天气,天氣,tiānqì,1
听,聽,tīng,1
听到,聽到,tīngdào,1
听见,聽見,tīngjiàn,1
听写,聽寫,tīngxiě,1
同学,同學,tóngxué,1
图书馆,圖書館,túshūguǎn,1
外,外,wài,1
外边,外邊,wàibian,1
外国,外國,wàiguó,1
外语,外語,wàiyǔ,1
玩儿,玩兒,wánr,1
晚,晚,wǎn,1
晚饭,晚飯,wǎnfàn,1
晚上,晚上,wǎnshang,1
网上,網上,wǎng shang,1
网友,網友,wǎngyǒu,1
忘,忘,wàng,1
忘记,忘記,wàngjì,1
问,問,wèn,1
我,我,wǒ,1
我们,我們,wǒmen,1
五,五,wǔ,1
午饭,午飯,wǔfàn,1
西,西,xī,1
西边,西邊,xībian,1
洗,洗,xǐ,1
洗手间,洗手間,xǐshǒujiān,1
喜欢,喜歡,xǐhuan,1
下,下,xià,1
下班,下班,xiàbān,1
下边,下邊,xiàbian,1
下车,下車,xià chē,1
下次,下次,xià cì,1
下课,下課,xiàkè,1
下午,下午,xiàwǔ,1
下雨,下雨,xià yǔ,1
先,先,xiān,1
先生,先生,xiānsheng,1
现在,現在,xiànzài,1
想,想,xiǎng,1
小,小,xiǎo,1
小孩儿,小孩兒,xiǎoháir,1
小姐,小姐,xiǎojiě,1
小朋友,小朋友,xiǎopéngyǒu,1
小时,小時,xiǎoshí,1
小学,小學,xiǎoxué,1
小学生,小學生,xiǎoxuéshēng,1
笑,笑,xiào,1
写,寫,xiě,1
谢谢,謝謝,xièxie,1
新,新,xīn,1
新年,新年,xīnnián,1
星期,星期,xīngqī,1
星期日,星期日,xīngqīrì,1
星期天,星期天,xīngqītiān,1
行,行,xíng,1
休息,休息,xiūxi,1
学,學,xué,1
学生,學生,xuéshēng,1
学习,學習,xuéxí,1
学校,學校,xuéxiào,1
学院,學院,xuéyuàn,1
要,要,yào,1
爷爷,爺爺,yéye,1
也,也,yě,1
页,頁,yè,1
一,一,yī,1
衣服,衣服,yīfu,1
医生,醫生,yīshēng,1
医院,醫院,yīyuàn,1
一半,一半,yībàn,1
一会儿,一會兒,yīhuìr,1
一块儿,一塊兒,yīkuàir,1
一下儿,一下兒,yīxiàr,1
一样,一樣,yīyàng,1
一边,一邊,yībiān,1
一点儿,一點兒,yīdiǎnr,1
一起,一起,yīqǐ,1
一些,一些,yīxiē,1
用,用,yòng,1
有,有,yǒu,1
有的,有的,yǒude,1
有名,有名,yǒumíng,1
有用,有用,yǒuyòng,1
右,右,yòu,1
右边,右邊,yòubian,1
雨,雨,yǔ,1
元,元,yuán,1
远,遠,yuǎn,1
月,月,yuè,1
再,再,zài,1
再见,再見,zàijiàn,1
在,在,zài,1
在家,在家,zàijiā,1
早,早,zǎo,1
早饭,早飯,zǎofàn,1
早上,早上,zǎoshang,1
怎么,怎麼,zěnme,1
站,站,zhàn,1
找,找,zhǎo,1
找到,找到,zhǎodào,1
这,這,zhè,1
这边,這邊,zhèbiān,1
这里,這裡,zhèlǐ,1
这儿,這兒,zhèr,1
这些,這些,zhèxiē,1
着,著,zhe,1
真,真,zhēn,1
真的,真的,zhēn de,1
正,正,zhèng,1
正在,正在,zhèngzài,1
知道,知道,zhīdào,1
知识,知識,zhīshi,1
中,中,zhōng,1
中国,中國,Zhōngguó,1
中间,中間,zhōngjiān,1
中文,中文,Zhōngwén,1
中午,中午,zhōngwǔ,1
中学,中學,zhōngxué,1
中学生,中學生,zhōngxuéshēng,1
重,重,zhòng,1
重要,重要,zhòngyào,1
住,住,zhù,1
准备,準備,zhǔnbèi,1
桌子,桌子,zhuōzi,1
字,字,zì,1
走,走,zǒu,1
走路,走路,zǒulù,1
最,最,zuì,1
最好,最好,zuìhǎo,1
最后,最後,zuìhòu,1
昨天,昨天,zuótiān,1
左,左,zuǒ,1
左边,左邊,zuǒbian,1
坐,坐,zuò,1
坐下,坐下,zuò xia,1
做,做,zuò,1
啊,啊,a,2
爱情,愛情,àiqíng,2
爱人,愛人,àiren,2
安静,安靜,ānjìng,2
安全,安全,ānquán,2
白色,白色,báisè,2
班长,班長,bānzhǎng,2
办,辦,bàn,2
办法,辦法,bànfǎ,2
办公室,辦公室,bàngōngshì,2
半夜,半夜,bànyè,2
帮助,幫助,bāngzhù,2
饱,飽,bǎo,2
报名,報名,bàomíng,2
报纸,報紙,bàozhǐ,2
北方,北方,běifāng,2
背,背,bèi,2
比如,比如,bǐrú,2
比如说,比如說,bǐrú shuō,2
笔,筆,bǐ,2
笔记,筆記,bǐjì,2
笔记本,筆記本,bǐjìběn,2
必须,必須,bìxū,2
边,邊,biān,2
变,變,biàn,2
变成,變成,biànchéng,2
遍,遍,biàn,2
表,表|錶,biǎo,2
表示,表示,biǎoshì,2
不错,不錯,bùcuò,2
不但,不但,bùdàn,2
不够,不夠,bùgòu,2
不过,不過,bùguò,2
不太,不太,bù tài,2
不要,不要,bùyào,2
不好意思,不好意思,bù hǎoyìsi,2
不久,不久,bùjiǔ,2
不满,不滿,bùmǎn,2
不如,不如,bùrú,2
不少,不少,bù shǎo,2
不同,不同,bù tóng,2
不行,不行,bùxíng,2
不一定,不一定,bùyīdìng,2
不一会儿,不一會兒,bù yīhuìr,2
部分,部分,bùfen,2
才,才,cái,2
菜单,菜單,càidān,2
参观,參觀,cānguān,2
参加,參加,cānjiā,2
草,草,cǎo,2
草地,草地,cǎodì,2
层,層,céng,2
查,查,chá,2
差不多,差不多,chàbuduō,2
长,長,cháng,2
常见,常見,cháng jiàn,2
常用,常用,cháng yòng,2
场,場,chǎng,2
超过,超過,chāoguò,2
超市,超市,chāoshì,2
车辆,車輛,chēliàng,2
称1,稱1,chēng,2
成,成,chéng,2
成绩,成績,chéngjì,2
成为,成為,chéngwéi,2
重复,重複,chóngfù,2
重新,重新,chóngxīn,2
出发,出發,chūfā,2
出国,出國,chūguó,2
出口,出口,chūkǒu,2
出门,出門,chūmén,2
出生,出生,chūshēng,2
出现,出現,chūxiàn,2
出院,出院,chūyuàn,2
出租,出租,chūzū,2
出租车,出租車,chūzūchē,2
船,船,chuán,2
吹,吹,chuī,2
春节,春節,Chūnjié,2
春天,春天,chūntiān,2
词,詞,cí,2
词典,詞典,cídiǎn,2
词语,詞語,cíyǔ,2
从小,從小,cóngxiǎo,2
答应,答應,dāying,2
打工,打工,dǎgōng,2
打算,打算,dǎsuàn,2
打印,打印,dǎyìn,2
大部分,大部分,dàbùfen,2
大大,大大,dàdà,2
大多数,大多數,dàduōshù,2
大海,大海,dàhǎi,2
大家,大家,dàjiā,2
大量,大量,dàliàng,2
大门,大門,dàmén,2
大人,大人,dàren,2
大声,大聲,dà shēng,2
大小,大小,dàxiǎo,2
大衣,大衣,dàyī,2
大自然,大自然,dàzìrán,2
带,帶,dài,2
带来,帶來,dàilái,2
单位,單位,dānwèi,2
但,但,dàn,2
但是,但是,dànshì,2
蛋,蛋,dàn,2
当,當,dāng,2
当时,當時,dāngshí,2
倒,倒,dǎo,2
到处,到處,dàochù,2
倒,倒,dào,2
道,道,dào,2
道理,道理,dàolǐ,2
道路,道路,dàolù,2
得,得,dé,2
得出,得出,déchū,2
的话,的話,dehuà,2
得,得,de,2
灯,燈,dēng,2
等,等,děng,2
等到,等到,děngdào,2
等于,等於,děngyú,2
低,低,dī,2
地球,地球,dìqiú,2
地铁,地鐵,dìtiě,2
地铁站,地鐵站,dìtiězhàn,2
点头,點頭,diǎntóu,2
店,店,diàn,2
掉,掉,diào,2
东北,東北,dōngběi,2
东方,東方,dōngfāng,2
东南,東南,dōngnán,2
冬天,冬天,dōngtiān,2
懂,懂,dǒng,2
懂得,懂得,dǒngde,2
动物,動物,dòngwù,2
动物园,動物園,dòngwùyuán,2
读音,讀音,dúyīn,2
度,度,dù,2
短,短,duǎn,2
短信,短信,duǎnxìn,2
段,段,duàn,2
队,隊,duì,2
队长,隊長,duìzhǎng,2
对,對,duì,2
对话,對話,duìhuà,2
对面,對面,duìmiàn,2
多,多,duō,2
多久,多久,duōjiǔ,2
多么,多麼,duōme,2
多数,多數,duōshù,2
多云,多雲,duōyún,2
而且,而且,érqiě,2
发,發,fā,2
发现,發現,fāxiàn,2
饭馆,飯館,fànguǎn,2
方便,方便,fāngbiàn,2
方便面,方便麵,fāngbiànmiàn,2
方法,方法,fāngfǎ,2
方面,方面,fāngmiàn,2
方向,方向,fāngxiàng,2
放下,放下,fàngxia,2
放心,放心,fàngxīn,2
分,分,fēn,2
分开,分開,fēnkāi,2
分数,分數,fēnshù,2
分钟,分鐘,fēnzhōng,2
份,份,fèn,2
封,封,fēng,2
服务,服務,fúwù,2
复习,複習,fùxí,2
该,該,gāi,2
改,改,gǎi,2
改变,改變,gǎibiàn,2
干杯,乾杯,gānbēi,2
感到,感到,gǎndào,2
感动,感動,gǎndòng,2
感觉,感覺,gǎnjué,2
感谢,感謝,gǎnxiè,2
干活儿,幹活兒,gànhuór,2
刚,剛,gāng,2
刚才,剛才,gāngcái,2
刚刚,剛剛,gānggāng,2
高级,高級,gāojí,2
高中,高中,gāozhōng,2
个子,個子,gèzi,2
更,更,gèng,2
公共汽车,公共汽車,gōnggòng qìchē,2
公交车,公交車,gōngjiāochē,2
公斤,公斤,gōngjīn,2
公里,公里,gōnglǐ,2
公路,公路,gōnglù,2
公平,公平,gōngpíng,2
公司,公司,gōngsī,2
公园,公園,gōngyuán,2
狗,狗,gǒu,2
够,夠,gòu,2
故事,故事,gùshi,2
故意,故意,gùyì,2
顾客,顧客,gùkè,2
关机,關機,guānjī,2
关心,關心,guānxīn,2
观点,觀點,guāndiǎn,2
广场,廣場,guǎngchǎng,2
广告,廣告,guǎnggào,2
国际,國際,guójì,2
过来,過來,guòlái,2
过年,過年,guònián,2
过去,過去,guòqù,2
过,過,guo,2
海,海,hǎi,2
海边,海邊,hǎi biān,2
喊,喊,hǎn,2
好,好,hǎo,2
好处,好處,hǎochù,2
好多,好多,hǎoduō,2
好久,好久,hǎojiǔ,2
好人,好人,hǎorén,2
好事,好事,hǎoshì,2
好像,好像,hǎoxiàng,2
合适,合適,héshì,2
河,河,hé,2
黑,黑,hēi,2
黑板,黑板,hēibǎn,2
黑色,黑色,hēisè,2
红,紅,hóng,2
红色,紅色,hóngsè,2
后来,後來,hòulái,2
忽然,忽然,hūrán,2
湖,湖,hú,2
护照,護照,hùzhào,2
花,花,huā,2
花园,花園,huāyuán,2
画,畫,huà,2
画家,畫家,huàjiā,2
画儿,畫兒,huàr,2
坏处,壞處,huàichù,2
坏人,壞人,huàirén,2
欢迎,歡迎,huānyíng,2
换,換,huàn,2
黄,黃,huáng,2
黄色,黃色,huángsè,2
回,回,huí,2
回国,回國,huí guó,2
会,會,huì,2
活动,活動,huódòng,2
或,或,huò,2
或者,或者,huòzhě,2
机会,機會,jīhuì,2
鸡,雞,jī,2
级,級,jí,2
急,急,jí,2
计划,計劃,jìhuà,2
计算机,計算機,jìsuànjī,2
加,加,jiā,2
加油,加油,jiāyóu,2
家庭,家庭,jiātíng,2
家长,家長,jiāzhǎng,2
假,假,jiǎ,2
假期,假期,jiàqī,2
检查,檢查,jiǎnchá,2
见到,見到,jiàndào,2
见过,見過,jiànguo,2
件,件,jiàn,2
健康,健康,jiànkāng,2
讲,講,jiǎng,2
讲话,講話,jiǎnghuà,2
交,交,jiāo,2
交给,交給,jiāo gěi,2
交朋友,交朋友,jiāo péngyou,2
交通,交通,jiāotōng,2
角,角,jiǎo,2
角度,角度,jiǎodù,2
饺子,餃子,jiǎozi,2
脚,腳,jiǎo,2
叫作,叫作,jiàozuò,2
教师,教師,jiàoshī,2
教室,教室,jiàoshì,2
教学,教學,jiàoxué,2
教育,教育,jiàoyù,2
接,接,jiē,2
接到,接到,jiēdào,2
接受,接受,jiēshòu,2
接下来,接下來,jiē xiàlái,2
接着,接著,jiēzhe,2
街,街,jiē,2
节,節,jié,2
节目,節目,jiémù,2
节日,節日,jiérì,2
结果,結果,jiéguǒ,2
借,借,jiè,2
斤,斤,jīn,2
今后,今後,jīnhòu,2
进入,進入,jìnrù,2
进行,進行,jìnxíng,2
近,近,jìn,2
经常,經常,jīngcháng,2
经过,經過,jīngguò,2
经理,經理,jīnglǐ,2
酒,酒,jiǔ,2
酒店,酒店,jiǔdiàn,2
就要,就要,jiùyào,2
举,舉,jǔ,2
举手,舉手,jǔshǒu,2
举行,舉行,jǔxíng,2
句,句,jù,2
句子,句子,jùzi,2
卡,卡,kǎ,2
开机,開機,kāijī,2
开心,開心,kāixīn,2
开学,開學,kāixué,2
看法,看法,kànfǎ,2
考生,考生,kǎoshēng,2
靠,靠,kào,2
科,科,kē,2
科学,科學,kēxué,2
可爱,可愛,kě'ài,2
可能,可能,kěnéng,2
可怕,可怕,kěpà,2
可是,可是,kěshì,2
可以,可以,kěyǐ,2
克,克,kè,2
刻,刻,kè,2
客人,客人,kèrén,2
课堂,課堂,kètáng,2
空气,空氣,kōngqì,2
哭,哭,kū,2
快餐,快餐,kuàicān,2
快点儿,快點兒,kuài diǎnr,2
快乐,快樂,kuàilè,2
快要,快要,kuàiyào,2
筷子,筷子,kuàizi,2
拉,拉,lā,2
来自,來自,láizì,2
蓝,藍,lán,2
蓝色,藍色,lánsè,2
篮球,籃球,lánqiú,2
老,老,lǎo,2
老年,老年,lǎonián,2
老朋友,老朋友,lǎo péngyou,2
老是,老是,lǎoshì,2
离,離,lí,2
离开,離開,líkāi,2
礼物,禮物,lǐwù,2
里头,裡頭,lǐtou,2
理想,理想,lǐxiǎng,2
例如,例如,lìrú,2
例子,例子,lìzi,2
脸,臉,liǎn,2
练,練,liàn,2
练习,練習,liànxí,2
凉,涼,liáng,2
凉快,涼快,liángkuai,2
两,兩,liǎng,2
亮,亮,liàng,2
辆,輛,liàng,2
零下,零下,líng xià,2
留,留,liú,2
留下,留下,liúxia,2
留学生,留學生,liúxuéshēng,2
流,流,liú,2
流利,流利,liúlì,2
流行,流行,liúxíng,2
路边,路邊,lù biān,2
旅客,旅客,lǚkè,2
旅行,旅行,lǚxíng,2
旅游,旅遊,lǚyóu,2
绿,綠,lǜ,2
绿色,綠色,lǜsè,2
卖,賣,mài,2
满,滿,mǎn,2
满意,滿意,mǎnyì,2
猫,貓,māo,2
米,米,mǐ,2
面1,面1,miàn,2
面2,面2,miàn,2
面前,面前,miànqián,2
名,名,míng,2
名称,名稱,míngchēng,2
名单,名單,míngdān,2
明星,明星,míngxīng,2
目的,目的,mùdì,2
拿出,拿出,náchū,2
拿到,拿到,nádào,2
那,那,nà,2
那会儿,那會兒,nàhuìr,2
那么,那麼,nàme,2
那样,那樣,nàyàng,2
南方,南方,nánfāng,2
难过,難過,nánguò,2
难看,難看,nánkàn,2
难受,難受,nánshòu,2
难题,難題,nántí,2
难听,難聽,nántīng,2
能够,能夠,nénggòu,2
年级,年級,niánjí,2
年轻,年輕,niánqīng,2
鸟,鳥,niǎo,2
弄,弄,nòng,2
努力,努力,nǔlì,2
爬,爬,pá,2
爬山,爬山,pá shān,2
怕,怕,pà,2
排,排,pái,2
排队,排隊,páiduì,2
排球,排球,páiqiú,2
碰,碰,pèng,2
碰到,碰到,pèngdào,2
碰见,碰見,pèngjiàn,2
篇,篇,piān,2
便宜,便宜,piányi,2
片,片,piàn,2
漂亮,漂亮,piàoliang,2
平,平,píng,2
平安,平安,píng'ān,2
平常,平常,píngcháng,2
平等,平等,píngděng,2
平时,平時,píngshí,2
瓶,瓶,píng,2
瓶子,瓶子,píngzi,2
普通,普通,pǔtōng,2
普通话,普通話,pǔtōnghuà,2
其他,其他,qítā,2
其中,其中,qízhōng,2
骑,騎,qí,2
骑车,騎車,qí chē,2
起飞,起飛,qǐfēi,2
气,氣,qì,2
气温,氣溫,qìwēn,2
千,千,qiān,2
千克,千克,qiānkè,2
前年,前年,qiánnián,2
墙,牆,qiáng,2
青年,青年,qīngnián,2
青少年,青少年,qīng-shàonián,2
轻,輕,qīng,2
清楚,清楚,qīngchu,2
晴,晴,qíng,2
晴天,晴天,qíngtiān,2
请客,請客,qǐngkè,2
请求,請求,qǐngqiú,2
秋天,秋天,qiūtiān,2
求,求,qiú,2
球场,球場,qiúchǎng,2
球队,球隊,qiúduì,2
球鞋,球鞋,qiúxié,2
取,取,qǔ,2
取得,取得,qǔdé,2
全,全,quán,2
全部,全部,quánbù,2
全国,全國,quánguó,2
全家,全家,quánjiā,2
全年,全年,quánnián,2
全身,全身,quánshēn,2
全体,全體,quántǐ,2
然后,然後,ránhòu,2
让,讓,ràng,2
热情,熱情,rèqíng,2
人口,人口,rénkǒu,2
人们,人們,rénmen,2
人数,人數,rénshù,2
认为,認為,rènwéi,2
日报,日報,rìbào,2
日子,日子,rìzi,2
如果,如果,rúguǒ,2
入口,入口,rùkǒu,2
商量,商量,shāngliang,2
商人,商人,shāngrén,2
上周,上周,shàng zhōu,2
少数,少數,shǎoshù,2
少年,少年,shàonián,2
身边,身邊,shēnbiān,2
什么样,什麼樣,shénmeyàng,2
生,生,shēng,2
生词,生詞,shēngcí,2
生活,生活,shēnghuó,2
声音,聲音,shēngyīn,2
省,省,shěng,2
省,省,shěng,2
十分,十分,shífēn,2
实际,實際,shíjì,2
实习,實習,shíxí,2
实现,實現,shíxiàn,2
实在,實在,shízài,2
实在,實在,shízai,2
食物,食物,shíwù,2
使用,使用,shǐyòng,2
市,市,shì,2
市长,市長,shìzhǎng,2
事情,事情,shìqing,2
收,收,shōu,2
收到,收到,shōudào,2
收入,收入,shōurù,2
手表,手錶,shǒubiǎo,2
受到,受到,shòudào,2
舒服,舒服,shūfu,2
熟,熟,shú/shóu,2
数,數,shǔ,2
数字,數字,shùzì,2
水平,水平,shuǐpíng,2
顺利,順利,shùnlì,2
说明,說明,shuōmíng,2
司机,司機,sījī,2
送到,送到,sòngdào,2
送给,送給,sòng gěi,2
算,算,suàn,2
虽然,雖然,suīrán,2
随便,隨便,suíbiàn,2
随时,隨時,suíshí,2
所以,所以,suǒyǐ,2
所有,所有,suǒyǒu,2
它,它,tā,2
它们,它們,tāmen,2
太太,太太,tàitai,2
太阳,太陽,tàiyáng,2
态度,態度,tàidù,2
讨论,討論,tǎolùn,2
套,套,tào,2
特别,特別,tèbié,2
特点,特點,tèdiǎn,2
疼,疼,téng,2
提,提,tí,2
提出,提出,tíchū,2
提到,提到,tídào,2
提高,提高,tígāo,2
题,題,tí,2
体育,體育,tǐyù,2
体育场,體育場,tǐyùchǎng,2
体育馆,體育館,tǐyùguǎn,2
天上,天上,tiānshàng,2
条,條,tiáo,2
条件,條件,tiáojiàn,2
听讲,聽講,tīngjiǎng,2
听说,聽說,tīngshuō,2
停,停,tíng,2
停车,停車,tíngchē,2
停车场,停車場,tíngchēchǎng,2
挺,挺,tǐng,2
挺好,挺好,tǐng hǎo,2
通,通,tōng,2
通过,通過,tōngguò,2
